fullpart_time,gender,months_work,respect,hr_wage,fullpart_time_char,gender_char
(1) Full-time worker,(2) Female,12,(4) Disagree,NA,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,8.6538461538499991,Full-time,Female
(1) Full-time worker,(2) Female,9,(3) Neither agree nor disagree,4.44444444445,Full-time,Female
(1) Full-time worker,(2) Female,12,(3) Neither agree nor disagree,10,Full-time,Female
(2) Part-time worker,(2) Female,9,(1) Strongly agree,8.5,Part-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,15,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,20.83333333334,Full-time,Female
(1) Full-time worker,(2) Female,7,(2) Agree,10.5,Full-time,Female
(1) Full-time worker,(2) Female,8,(1) Strongly agree,12,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,NA,Full-time,Female
(1) Full-time worker,(2) Female,9,(1) Strongly agree,7.89473684211,Full-time,Female
(2) Part-time worker,(2) Female,11,(1) Strongly agree,3.30882352941,Part-time,Female
(1) Full-time worker,(2) Female,11,(2) Agree,11.22,Full-time,Female
(1) Full-time worker,(2) Female,9,NA,11.11111111112,Full-time,Female
(1) Full-time worker,(2) Female,12,(3) Neither agree nor disagree,14.5,Full-time,Female
(2) Part-time worker,(2) Female,2,(2) Agree,11.1,Part-time,Female
(2) Part-time worker,(2) Female,10,(1) Strongly agree,11.2,Part-time,Female
(1) Full-time worker,(2) Female,10,(2) Agree,11.8918918919,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,9.06,Full-time,Female
(2) Part-time worker,(2) Female,12,(2) Agree,8.33333333334,Part-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,15.96,Full-time,Female
(2) Part-time worker,(2) Female,6,(2) Agree,NA,Part-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,13.2,Full-time,Female
(2) Part-time worker,(2) Female,12,(2) Agree,15,Part-time,Female
(1) Full-time worker,(2) Female,10,NA,NA,Full-time,Female
(2) Part-time worker,(2) Female,7,(1) Strongly agree,10,Part-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,12,Full-time,Female
(2) Part-time worker,(2) Female,12,(2) Agree,11.5,Part-time,Female
NA,NA,NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(2) Agree,20,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,14.58333333334,Full-time,Female
(2) Part-time worker,(2) Female,10,(1) Strongly agree,25,Part-time,Female
(2) Part-time worker,(2) Female,9,(1) Strongly agree,12.16,Part-time,Female
(2) Part-time worker,(2) Female,2,(2) Agree,10.75,Part-time,Female
(1) Full-time worker,(2) Female,2,(2) Agree,NA,Full-time,Female
(1) Full-time worker,(1) Male,12,(1) Strongly agree,7.69230769231,Full-time,Male
(2) Part-time worker,(2) Female,12,(2) Agree,8.39160839161,Part-time,Female
(1) Full-time worker,(2) Female,9,(2) Agree,13.7125,Full-time,Female
(1) Full-time worker,(2) Female,9,(2) Agree,15,Full-time,Female
(2) Part-time worker,(2) Female,12,(2) Agree,20,Part-time,Female
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,10,(1) Strongly agree,31.93277310925,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,7.5,Full-time,Female
(2) Part-time worker,(2) Female,12,NA,12.5,Part-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,14,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,10,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,8,Full-time,Female
(1) Full-time worker,(2) Female,8,(4) Disagree,10,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,17.09401709402,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,NA,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,NA,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,15.75,Full-time,Female
(2) Part-time worker,(2) Female,9,(1) Strongly agree,14.67,Part-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,28.44444444445,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,26,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,16,Full-time,Female
(1) Full-time worker,(2) Female,11,(3) Neither agree nor disagree,107.5,Full-time,Female
(1) Full-time worker,(2) Female,12,NA,NA,Full-time,Female
(2) Part-time worker,(2) Female,10,(1) Strongly agree,NA,Part-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,17,Full-time,Female
NA,NA,NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(2) Agree,13.725,Full-time,Female
(1) Full-time worker,(2) Female,NA,(2) Agree,22.52252252253,Full-time,Female
(2) Part-time worker,(2) Female,3,(2) Agree,15,Part-time,Female
NA,NA,NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,NA,12.85714285715,Full-time,Female
(1) Full-time worker,(2) Female,8,(1) Strongly agree,14,Full-time,Female
(1) Full-time worker,(2) Female,12,(5) Strongly disagree,31.54761904762,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,14.5,Full-time,Female
(2) Part-time worker,(2) Female,12,(2) Agree,NA,Part-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,10,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,16,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,10,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,11,Full-time,Female
NA,NA,NA,NA,NA,NA,NA
(2) Part-time worker,(2) Female,12,(1) Strongly agree,14.5,Part-time,Female
(1) Full-time worker,(2) Female,8,(1) Strongly agree,17.72,Full-time,Female
(2) Part-time worker,(2) Female,10,(1) Strongly agree,13,Part-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,16.5,Full-time,Female
(1) Full-time worker,(2) Female,1,NA,NA,Full-time,Female
NA,NA,NA,NA,NA,NA,NA
(1) Full-time worker,(1) Male,12,(1) Strongly agree,11,Full-time,Male
(2) Part-time worker,(2) Female,10,(1) Strongly agree,12.185,Part-time,Female
(1) Full-time worker,(2) Female,8,(1) Strongly agree,21.11176470589,Full-time,Female
(1) Full-time worker,(2) Female,10,(4) Disagree,12.5,Full-time,Female
NA,NA,NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,10,(2) Agree,14,Full-time,Female
(1) Full-time worker,(2) Female,9,(3) Neither agree nor disagree,7.75,Full-time,Female
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(1) Strongly agree,13,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,11,Full-time,Female
(1) Full-time worker,(2) Female,12,(3) Neither agree nor disagree,13.725,Full-time,Female
(2) Part-time worker,(2) Female,12,(3) Neither agree nor disagree,10,Part-time,Female
(1) Full-time worker,(2) Female,2,(3) Neither agree nor disagree,12.5,Full-time,Female
(1) Full-time worker,(2) Female,10,(1) Strongly agree,32.7380952381,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,NA,Full-time,Female
(1) Full-time worker,(2) Female,9,(1) Strongly agree,12.01923076924,Full-time,Female
NA,NA,NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(2) Agree,11.875,Full-time,Female
(1) Full-time worker,(2) Female,2,(3) Neither agree nor disagree,8,Full-time,Female
(1) Full-time worker,(2) Female,9,(2) Agree,21.86,Full-time,Female
(2) Part-time worker,(2) Female,4,(1) Strongly agree,8,Part-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,14.071875,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,13.46153846154,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,15,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,12,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,12,Full-time,Female
(1) Full-time worker,(2) Female,10,(2) Agree,15.9,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,NA,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,11,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,10.91,Full-time,Female
NA,NA,NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(4) Disagree,17,Full-time,Female
NA,NA,NA,NA,NA,NA,NA
(1) Full-time worker,NA,12,NA,8.12790697675,Full-time,NA
(1) Full-time worker,(2) Female,12,(1) Strongly agree,13,Full-time,Female
(1) Full-time worker,(2) Female,5,(1) Strongly agree,7.5,Full-time,Female
(1) Full-time worker,(1) Male,12,(5) Strongly disagree,15.68627450981,Full-time,Male
NA,NA,NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(1) Strongly agree,22,Full-time,Female
(2) Part-time worker,(2) Female,10,(1) Strongly agree,NA,Part-time,Female
(1) Full-time worker,(2) Female,10,(1) Strongly agree,37.89473684211,Full-time,Female
(2) Part-time worker,(2) Female,8,(2) Agree,10,Part-time,Female
(2) Part-time worker,(2) Female,12,(1) Strongly agree,14,Part-time,Female
(1) Full-time worker,(2) Female,10,(1) Strongly agree,35.51768707483,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,10,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,9.5,Full-time,Female
(2) Part-time worker,(2) Female,9,(2) Agree,11.62,Part-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,15,Full-time,Female
(1) Full-time worker,(2) Female,11,(2) Agree,15,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,7.3625,Full-time,Female
NA,NA,NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(2) Agree,10,Full-time,Female
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
(2) Part-time worker,(2) Female,6,(1) Strongly agree,10.4,Part-time,Female
(2) Part-time worker,(2) Female,9,(2) Agree,18.73170731708,Part-time,Female
NA,NA,NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(1) Strongly agree,11,Full-time,Female
(2) Part-time worker,(1) Male,10,(1) Strongly agree,107.32142857143,Part-time,Male
(1) Full-time worker,(2) Female,9,(2) Agree,38.88888888889,Full-time,Female
(1) Full-time worker,(2) Female,10,(2) Agree,17.5,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,20.625,Full-time,Female
(1) Full-time worker,(2) Female,10,(1) Strongly agree,9,Full-time,Female
(1) Full-time worker,(2) Female,10,(2) Agree,19.69000000001,Full-time,Female
(1) Full-time worker,(2) Female,10,(2) Agree,21,Full-time,Female
(2) Part-time worker,(2) Female,12,(2) Agree,10.66666666667,Part-time,Female
(2) Part-time worker,(2) Female,9,(1) Strongly agree,59.375,Part-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,9,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,8.75,Full-time,Female
(1) Full-time worker,(2) Female,12,(3) Neither agree nor disagree,12,Full-time,Female
(1) Full-time worker,(2) Female,12,(3) Neither agree nor disagree,23.56,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,16,Full-time,Female
(1) Full-time worker,(2) Female,5,(1) Strongly agree,5.68571428572,Full-time,Female
(2) Part-time worker,(2) Female,12,(1) Strongly agree,12.6,Part-time,Female
(2) Part-time worker,(2) Female,10,(1) Strongly agree,7,Part-time,Female
(2) Part-time worker,(2) Female,12,(1) Strongly agree,NA,Part-time,Female
NA,NA,NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(2) Agree,12.5,Full-time,Female
NA,NA,NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,1,(1) Strongly agree,12,Full-time,Female
(1) Full-time worker,(2) Female,11,(4) Disagree,12.75,Full-time,Female
(1) Full-time worker,(2) Female,10,(1) Strongly agree,14,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,107.5,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,12.85714285715,Full-time,Female
(1) Full-time worker,(2) Female,12,(3) Neither agree nor disagree,19.9,Full-time,Female
NA,NA,NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,9,(1) Strongly agree,10.25,Full-time,Female
(1) Full-time worker,(2) Female,10,(1) Strongly agree,20.55555555556,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,10.80000000001,Full-time,Female
NA,NA,NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(2) Agree,15,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,12.5,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,9.5,Full-time,Female
(2) Part-time worker,(2) Female,10,NA,NA,Part-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,9.1,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,11,Full-time,Female
(1) Full-time worker,(2) Female,10,(2) Agree,16,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,9.15,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,26.84210526316,Full-time,Female
(1) Full-time worker,NA,1,(2) Agree,18,Full-time,NA
NA,NA,NA,NA,NA,NA,NA
(2) Part-time worker,(2) Female,10,(2) Agree,8,Part-time,Female
NA,NA,NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,8,(1) Strongly agree,9,Full-time,Female
(1) Full-time worker,(2) Female,9,(2) Agree,25,Full-time,Female
(1) Full-time worker,(2) Female,10,(1) Strongly agree,23.33333333334,Full-time,Female
(2) Part-time worker,(2) Female,12,(1) Strongly agree,10,Part-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,9.125,Full-time,Female
(1) Full-time worker,(2) Female,4,(2) Agree,10,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,9,Full-time,Female
(2) Part-time worker,(2) Female,12,(1) Strongly agree,10.05000000001,Part-time,Female
(1) Full-time worker,(2) Female,3,(3) Neither agree nor disagree,18.75,Full-time,Female
(1) Full-time worker,(2) Female,10,(1) Strongly agree,33.33333333334,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,17.307692307699998,Full-time,Female
(2) Part-time worker,(2) Female,5,(1) Strongly agree,7.25,Part-time,Female
(2) Part-time worker,(2) Female,3,(4) Disagree,7.14285714286,Part-time,Female
(1) Full-time worker,(2) Female,6,(2) Agree,9,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,12.5,Full-time,Female
(1) Full-time worker,(2) Female,10,(1) Strongly agree,15,Full-time,Female
(1) Full-time worker,(2) Female,9,(1) Strongly agree,8.48750000001,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,10.75,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,18.66,Full-time,Female
(1) Full-time worker,(2) Female,10,(4) Disagree,16.66666666667,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,15.5,Full-time,Female
(1) Full-time worker,(2) Female,7,(2) Agree,11,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,13,Full-time,Female
(2) Part-time worker,(2) Female,1,(2) Agree,12,Part-time,Female
NA,NA,NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(1) Strongly agree,NA,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,9.25,Full-time,Female
(2) Part-time worker,(2) Female,2,(2) Agree,9,Part-time,Female
NA,NA,NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(2) Agree,20,Full-time,Female
(2) Part-time worker,(2) Female,9,(5) Strongly disagree,7.75,Part-time,Female
(1) Full-time worker,(2) Female,11,(3) Neither agree nor disagree,11.9,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,10.5,Full-time,Female
(2) Part-time worker,(2) Female,12,(2) Agree,14.93333333334,Part-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,11.75,Full-time,Female
NA,NA,NA,NA,NA,NA,NA
(2) Part-time worker,(2) Female,1,(1) Strongly agree,14,Part-time,Female
(2) Part-time worker,(2) Female,12,(2) Agree,12,Part-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,7.5,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,14,Full-time,Female
(1) Full-time worker,(1) Male,12,(2) Agree,9,Full-time,Male
(1) Full-time worker,(2) Female,12,(1) Strongly agree,NA,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,16.11111111112,Full-time,Female
(2) Part-time worker,(2) Female,9,(2) Agree,24.60317460318,Part-time,Female
(2) Part-time worker,(2) Female,12,(1) Strongly agree,107.5,Part-time,Female
NA,NA,NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,10,(1) Strongly agree,9,Full-time,Female
(2) Part-time worker,(2) Female,8,(2) Agree,12.75,Part-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,15,Full-time,Female
NA,NA,NA,NA,NA,NA,NA
(2) Part-time worker,(2) Female,12,(1) Strongly agree,12,Part-time,Female
NA,NA,NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,NA,(2) Agree,NA,Full-time,Female
(2) Part-time worker,(2) Female,12,(3) Neither agree nor disagree,12.75,Part-time,Female
(2) Part-time worker,(2) Female,4,(2) Agree,10,Part-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,10,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,11.6,Full-time,Female
(1) Full-time worker,(2) Female,12,(3) Neither agree nor disagree,10.5,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,30.79207317074,Full-time,Female
NA,NA,NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,7,(1) Strongly agree,7.41666666667,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,15,Full-time,Female
NA,(2) Female,NA,(3) Neither agree nor disagree,10,NA,Female
(1) Full-time worker,(2) Female,8,(3) Neither agree nor disagree,31.32716049383,Full-time,Female
(2) Part-time worker,(2) Female,12,(4) Disagree,13,Part-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,NA,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,18.25,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,25.71428571429,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,NA,Full-time,Female
(2) Part-time worker,(2) Female,12,(1) Strongly agree,14,Part-time,Female
(2) Part-time worker,(2) Female,8,(1) Strongly agree,11,Part-time,Female
(1) Full-time worker,(2) Female,10,(2) Agree,10,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,8.7537993921,Full-time,Female
(2) Part-time worker,(2) Female,12,(1) Strongly agree,8,Part-time,Female
NA,NA,NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,2,(1) Strongly agree,7.25,Full-time,Female
(1) Full-time worker,(2) Female,10,(1) Strongly agree,10.09615384616,Full-time,Female
(1) Full-time worker,(2) Female,12,(3) Neither agree nor disagree,18.48214285715,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,11.87,Full-time,Female
(1) Full-time worker,(2) Female,10,(2) Agree,12,Full-time,Female
(1) Full-time worker,(2) Female,12,(3) Neither agree nor disagree,NA,Full-time,Female
(1) Full-time worker,(1) Male,12,(1) Strongly agree,3.09090909091,Full-time,Male
NA,NA,NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(1) Strongly agree,NA,Full-time,Female
(1) Full-time worker,(2) Female,8,(2) Agree,10,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,15.28,Full-time,Female
NA,NA,NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,9,(1) Strongly agree,26.26262626263,Full-time,Female
(1) Full-time worker,(2) Female,10,(1) Strongly agree,20.84,Full-time,Female
(2) Part-time worker,(2) Female,12,(1) Strongly agree,8.75,Part-time,Female
NA,NA,NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,1,(2) Agree,10,Full-time,Female
(1) Full-time worker,(2) Female,12,(3) Neither agree nor disagree,16,Full-time,Female
(1) Full-time worker,(2) Female,9,(2) Agree,27.77777777778,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,9,Full-time,Female
(1) Full-time worker,(2) Female,11,(1) Strongly agree,14.44444444445,Full-time,Female
(1) Full-time worker,(2) Female,1,(3) Neither agree nor disagree,9,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,12,Full-time,Female
(1) Full-time worker,(2) Female,10,(1) Strongly agree,18.33333333334,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,11,Full-time,Female
(1) Full-time worker,NA,9,NA,9.85,Full-time,NA
(1) Full-time worker,(2) Female,10,(2) Agree,17,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,14.509,Full-time,Female
(2) Part-time worker,(2) Female,8,(1) Strongly agree,NA,Part-time,Female
(2) Part-time worker,(2) Female,10,(1) Strongly agree,27,Part-time,Female
(2) Part-time worker,(2) Female,4,(1) Strongly agree,NA,Part-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,20,Full-time,Female
(1) Full-time worker,(2) Female,10,(1) Strongly agree,24.36,Full-time,Female
NA,NA,NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(2) Agree,15.35,Full-time,Female
(1) Full-time worker,(2) Female,10,(1) Strongly agree,12.5,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,17.52136752137,Full-time,Female
(1) Full-time worker,(2) Female,9,(1) Strongly agree,NA,Full-time,Female
(1) Full-time worker,(1) Male,12,(1) Strongly agree,21.42857142858,Full-time,Male
(1) Full-time worker,(2) Female,12,(1) Strongly agree,NA,Full-time,Female
(1) Full-time worker,(2) Female,12,(3) Neither agree nor disagree,10,Full-time,Female
NA,NA,NA,NA,NA,NA,NA
(2) Part-time worker,(2) Female,12,(2) Agree,16.67000000001,Part-time,Female
(2) Part-time worker,(2) Female,10,(1) Strongly agree,16.5,Part-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,16.25,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,NA,Full-time,Female
(1) Full-time worker,(2) Female,8,(1) Strongly agree,10.9375,Full-time,Female
NA,NA,NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(1) Strongly agree,10,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,16.10000000001,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,10,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,10,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,15.38,Full-time,Female
(1) Full-time worker,(2) Female,5,(2) Agree,12.75,Full-time,Female
(1) Full-time worker,(2) Female,12,(3) Neither agree nor disagree,14.78991596639,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,20,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,13.23529411765,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,12.35294117648,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,10,Full-time,Female
(2) Part-time worker,(2) Female,9,(1) Strongly agree,23.80952380953,Part-time,Female
(1) Full-time worker,(2) Female,10,(4) Disagree,58.33333333334,Full-time,Female
NA,NA,NA,NA,NA,NA,NA
(2) Part-time worker,(2) Female,12,(4) Disagree,11,Part-time,Female
(2) Part-time worker,(2) Female,12,(2) Agree,7.75,Part-time,Female
(1) Full-time worker,(2) Female,10,(1) Strongly agree,29.47142857143,Full-time,Female
(1) Full-time worker,(2) Female,12,(3) Neither agree nor disagree,14.92,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,19,Full-time,Female
(1) Full-time worker,(2) Female,10,(2) Agree,15.4,Full-time,Female
(1) Full-time worker,(2) Female,12,(3) Neither agree nor disagree,13.5,Full-time,Female
(1) Full-time worker,(2) Female,11,(2) Agree,11,Full-time,Female
(1) Full-time worker,(2) Female,9,(2) Agree,13.54166666667,Full-time,Female
(1) Full-time worker,(2) Female,9,(2) Agree,10.41666666667,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,13.28,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,15.68,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,15.68000000001,Full-time,Female
(1) Full-time worker,(1) Male,12,(1) Strongly agree,4.375,Full-time,Male
(2) Part-time worker,NA,10,(2) Agree,15.53,Part-time,NA
(1) Full-time worker,(2) Female,9,(1) Strongly agree,9,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,11.4,Full-time,Female
(1) Full-time worker,(1) Male,12,(2) Agree,11,Full-time,Male
(1) Full-time worker,(2) Female,12,(1) Strongly agree,6.2875,Full-time,Female
(2) Part-time worker,(2) Female,12,(2) Agree,11.49,Part-time,Female
(1) Full-time worker,(2) Female,10,(2) Agree,18.53,Full-time,Female
(1) Full-time worker,(2) Female,10,(1) Strongly agree,6.875,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,12,Full-time,Female
(2) Part-time worker,(2) Female,12,(1) Strongly agree,18,Part-time,Female
(2) Part-time worker,(2) Female,12,(1) Strongly agree,10,Part-time,Female
(1) Full-time worker,(2) Female,6,(2) Agree,22,Full-time,Female
(2) Part-time worker,(2) Female,12,(2) Agree,11.86666666667,Part-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,15,Full-time,Female
(1) Full-time worker,(2) Female,11,(2) Agree,11,Full-time,Female
NA,NA,NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,9,(1) Strongly agree,35.80246913581,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,10,Full-time,Female
(1) Full-time worker,(2) Female,12,(3) Neither agree nor disagree,9.5,Full-time,Female
(1) Full-time worker,(2) Female,12,(4) Disagree,11,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,19.47,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,38.88888888889,Full-time,Female
(1) Full-time worker,(2) Female,9,(1) Strongly agree,12,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,22.61904761905,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,10.25,Full-time,Female
(1) Full-time worker,(2) Female,3,(2) Agree,9.5,Full-time,Female
(1) Full-time worker,(2) Female,10,(2) Agree,38.88888888889,Full-time,Female
NA,NA,NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(1) Strongly agree,12,Full-time,Female
(1) Full-time worker,(2) Female,10,(3) Neither agree nor disagree,31.25,Full-time,Female
(1) Full-time worker,(2) Female,NA,(1) Strongly agree,NA,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,18,Full-time,Female
NA,NA,NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(2) Agree,42.90350877193,Full-time,Female
NA,NA,NA,NA,NA,NA,NA
(2) Part-time worker,(2) Female,9,(2) Agree,15,Part-time,Female
(2) Part-time worker,(2) Female,8,(1) Strongly agree,21,Part-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,17.307692307699998,Full-time,Female
(2) Part-time worker,(2) Female,6,(1) Strongly agree,51.42857142858,Part-time,Female
NA,NA,NA,NA,NA,NA,NA
(1) Full-time worker,(1) Male,6,(2) Agree,NA,Full-time,Male
(1) Full-time worker,(2) Female,12,(2) Agree,11,Full-time,Female
